Reference,Qty,Value,Manufacturer Name,Manufacturer Part Number,Supplier Part Number
"B901,B902",10,SW_Tactile_PTS815SJM250,C&K,PTS815SJM250SMTRLFS,CKN12215-1-ND
"C101,C102,C110,C111,C112,C113,C122,C123,C124,C125,C301,C303,C310,C312",30,4u7,Murata,GRT32ER71H475KE01L,490-GRT32ER71H475KE01LCT-ND
"C103,C104,C105",10,47u,Würth Elektronik,8.65061E+11,732-8585-1-ND
"C106,C118,C307,C308,C309,C316,C317,C318",50,4u7,Murata,GRM21BZ7YA475KE15,490-GRM21BZ7YA475KE15LCT-ND
"C107,C108,C109,C114,C117,C119,C120,C121,C126,C129,C145,C304,C305,C306,C313,C314,C315,C320,C323,C325,C328,C329,C402,C403,C404,C405,C406,C407,C408,C409,C606,C607,C701,C702,C703,C704,C801,C802,C901,C902,C903",50,100n,Murata,GRM155R71H104KE14D,490-10700-1-ND
"C116,C128",10,100p,Murata,GRM1555C1H101GA01D,490-6188-1-ND
"C130,C131,C132,C133,C134,C135,C137,C138,C139,C140,C141,C142",25,4u7,Murata,GRM31CR71H475KA12,490-6521-1-ND
"C136,C143",5,47u,Panasonic,35SVPK47M,P122127CT-ND
"C302,C311",10,22u,Würth Elektronik,8.65081E+11,732-8505-1-ND
"C319,C321,C322,C324,C326,C327,C401",10,2u2,Murata,GRM188Z71C225KE43,490-GRM188Z71C225KE43JCT-ND
"C501,C502",10,6p8,Murata,GCM1555C1H6R8FA16D,490-GCM1555C1H6R8FA16DCT-ND
"C601,C602,C603,C605",10,47p,Murata,GRM1555C1H470GA01D,490-8206-1-ND
C604,10,1n,Murata,GRM1555C1H102JA01D,490-3244-1-ND
"CN201,CN202,CN203,CN204",10,04A2,Amphenol ICC,10127819-04211LF,609-4867-ND
CN701,5,USB4215-03-A,GCT,USB4215-03-A,2073-USB4215-03-ACT-ND
CN702,2,Conn_JTAG_STDC10,GCT,BD125-10-A-0305-0580-L-B,2073-BD125-10-A-0305-0580-L-BCT-ND
CN703,2,FFC2B28-16-G,GCT,FFC2B28-16-G,2073-FFC2B28-16-GCT-ND
CN704,2,FFC2B28-04-G,GCT,FFC2B28-04-G,2073-FFC2B28-04-GCT-ND
"D101,D102,D103,D104",10,BAT54XV2T5G,onsemi,BAT54XV2T5G,BAT54XV2T5GOSCT-ND
"D201,D202",5,SMF4L28A,Littelfuse Inc.,SMF4L28A,F7483CT-ND
D301,10,BAT60JFILM,STMicroelectronics,BAT60JFILM,497-3707-1-ND
"D701,D705,D706",10,SP3031-01ETG,Littelfuse Inc.,SP3031-01ETG,F5769CT-ND
"D702,D703,D704",10,PUSB3FR4Z,Nexperia,PUSB3FR4Z,1727-2026-1-ND
L101,5,1u,Abracon LLC,AMPLH5030S-1R0MT,535-AMPLH5030S-1R0MTCT-ND
"L102,L103",4,10u,Würth Elektronik,7.44394E+11,732-744393665100CT-ND
"L301,L303",5,2u2,Pulse Electronics,BDCD002016102R2MS1,553-BDCD002016102R2MS1CT-ND
"L302,L304",5,22u,Abracon LLC,AMDLA4020S-220MT,535-AMDLA4020S-220MTCT-ND
"Q101,Q103",5,BSZ018N04LS6,Infineon Technologies,BSZ018N04LS6ATMA1,448-BSZ018N04LS6ATMA1CT-ND
"Q102,Q104",5,IQE013N04LM6,Infineon Technologies,IQE013N04LM6ATMA1,448-IQE013N04LM6ATMA1CT-ND
"Q105,Q106,Q801,Q802,Q803,Q804",25,GS2N7002KW,Good-Ark,GS2N7002KW,4786-GS2N7002KWCT-ND
R101,2,5m,YAGEO,PA2512FKE7W0R005E,YAG6091CT-ND
"R102,R103,R501,R503,R504,R505,R506,R705,R706,R707,R708,R709,R710,R711,R712,R713,R714,R715,R716,R717",100,22R,YAGEO,RC0402FR-1322RL,13-RC0402FR-1322RLCT-ND
"R104,R110,R304,R306,R308,R310",25,21k5,YAGEO,RC0402FR-0721K5L,311-21.5KLRCT-ND
"R105,R111,R604,R805,R806,R807,R808,R902",25,100R,YAGEO,RC0402FR-07100RL,311-100LRCT-ND
"R106,R112,R809,R810,R811,R812",25,100k,YAGEO,RC0402FR-07100KL,311-100KLRCT-ND
"R116,R118",50,90k9,YAGEO,RC0603FR-0790K9L,311-90.9KHRCT-ND
"R117,R119",50,10k,YAGEO,RC0603FR-0710KL,311-10.0KHRCT-ND
R201,10,1k,YAGEO,AC1206FR-7W1KL,13-AC1206FR-7W1KLCT-ND
"R202,R507,R508,R601,R602,R603,R605",25,49R9,YAGEO,RC0402FR-1349R9L,13-RC0402FR-1349R9LCT-ND
"R301,R302",10,20m,YAGEO,PA1206FRE070R02Z,13-PA1206FRE070R02ZCT-ND
R303,10,162k,YAGEO,RC0402FR-07162KL,YAG2370CT-ND
R305,10,221k,YAGEO,RC0402FR-07221KL,YAG3059CT-ND
R307,10,110k,YAGEO,RC0402FR-07110KL,311-110KLRCT-ND
R309,10,118k,YAGEO,RC0402FR-07118KL,YAG2369CT-ND
"R311,R313,R401,R701,R704,R718,R719,R720,R721",100,0R,YAGEO,RC0603JR-070RL,311-0.0GRCT-ND
"R312,R702,R703",100,5k11,YAGEO,RC0402FR-135K11L,13-RC0402FR-135K11LCT-ND
"R502,R802,R803,R903,R905",100,1k,YAGEO,RC0402FR-071KL,311-1.00KLRCT-ND
"R801,R804",100,499,YAGEO,RC0402FR-07499RL,311-499LRCT-ND
"R901,R904",100,10k,YAGEO,RC0402FR-1010KL,13-RC0402FR-1010KLCT-ND
"U101,U103",5,UCC27282DRC,Texas Instruments,UCC27282DRCT,296-53422-1-ND
"U102,U104",5,ACS37030LLZATR-040B3,Allegro MicroSystems,ACS37030LLZATR-040B3,620-ACS37030LLZATR-040B3CT-ND
U106,2,INA187A1IDBVR,Texas Instruments,INA187A1IDBVR,296-INA187A1IDBVRCT-ND
"U301,U302",10,LMR54410DBVR,Texas Instruments,LMR54410DBVR,296-LMR54410DBVRCT-ND
"U303,U304",10,SPX3819M5-L-3-3/TR,MaxLinear,SPX3819M5-L-3-3/TR,1016-1873-1-ND
U305,10,LDLN025M33R,STMicroelectronics,LDLN025M33R,497-17777-1-ND
U306,2,LM66100DCK,Texas Instruments,LM66100DCK,296-53540-1-ND
U401,2,STM32G474RET6,STMicroelectronics,STM32G474RET6,497-STM32G474RET6-ND
U402,3,MCP1501T-30E,Microchip Technology,MCP1501T-30E,MCP1501T-30E/CHYCT-ND
"U601,U602",10,TLV9061SIDBVR,Texas Instruments,TLV9061SIDBVR,296-53200-1-ND
U701,10,USBLC6-2SC6,STMicroelectronics,USBLC6-2SC6,497-5235-1-ND
X501,10,ABM11W-24MHz-8,Abracon LLC,ABM11W-24.0000MHZ-8-B1U-T3,535-13834-1-ND
