"#","Reference","Qty","Value","DNP","Exclude from BOM","Manufacturer","Manufacturer Part Number","Supplier Part Number","Supplier","Manufacturer 2nd","Manufacturer Part Number 2nd","Supplier Part Number 2nd","Supplier 2nd"
"1","B901,B902","2","SW_Tactile_PTS815SJM250","","","C&K","PTS815SJM250SMTRLFS","CKN12215-1-ND","DigiKey","","","",""
"2","C101,C102,C110,C111,C112,C113,C122,C123,C124,C125,C301,C303,C310,C312","14","4u7","","","Murata","GRT32ER71H475KE01L","490-GRT32ER71H475KE01LCT-ND","DigiKey","","","",""
"3","C103,C104,C105","3","47u","","","Würth Elektronik","865060543005","732-8585-1-ND","DigiKey","","","",""
"4","C106,C118,C307,C308,C309,C316,C317,C318","8","4u7","","","Murata","GRM21BZ7YA475KE15","490-GRM21BZ7YA475KE15LCT-ND","DigiKey","","","",""
"5","C107,C108,C109,C114,C117,C119,C120,C121,C126,C129,C145,C304,C305,C306,C313,C314,C315,C320,C323,C325,C328,C329,C402,C403,C404,C405,C406,C407,C408,C409,C606,C607,C701,C702,C703,C704,C801,C802,C901,C902,C903","41","100n","","","Murata","GRM155R71H104KE14D","490-10700-1-ND","DigiKey","","","",""
"6","C116,C128","2","100p","DNP","","Murata","GRM1555C1H101GA01D","490-6188-1-ND","DigiKey","Murata","GCM1555C1H101FA16D","0160-1291-2","Electronisc Source"
"7","C130,C131,C132,C133,C134,C135,C137,C138,C139,C140,C141,C142","12","4u7","","","Murata","GRM31CR71H475KA12","490-6521-1-ND","DigiKey","","","",""
"8","C136,C143","2","47u","","","Panasonic","35SVPK47M","P122127CT-ND","DigiKey","","","",""
"9","C302,C311","2","22u","","","Würth Elektronik","865080542006","732-8505-1-ND","DigiKey","","","",""
"10","C319,C321,C322,C324,C326,C327,C401","7","2u2","","","Murata","GRM188Z71C225KE43","490-GRM188Z71C225KE43JCT-ND","DigiKey","","","",""
"11","C501,C502","2","6p8","","","Murata","GCM1555C1H6R8FA16D","490-GCM1555C1H6R8FA16DCT-ND","DigiKey","Murata","GRM1555C1H6R8BA01D","0160-0503-6","Electronisc Source"
"12","C601,C602,C603,C605","4","47p","","","Murata","GRM1555C1H470GA01D","490-8206-1-ND","DigiKey","KYOCERA AVX","04025A470JAT2A","0092-0407-5","Electronisc Source"
"13","C604","1","1n","","","Murata","GRM1555C1H102JA01D","490-3244-1-ND","DigiKey","Murata","GRM1555C1H102JA01D","0160-0208-1","Electronisc Source"
"14","C705,C706","2","100n","DNP","","Murata","GRM155R71H104KE14D","490-10700-1-ND","DigiKey","","","",""
"15","CN201,CN202,CN203,CN204","4","04A2","","","Amphenol ICC","10127819-04211LF","609-4867-ND","DigiKey","","","",""
"16","CN701","1","USB4215-03-A","","","GCT","USB4215-03-A","2073-USB4215-03-ACT-ND","DigiKey","","","",""
"17","CN702","1","Conn_JTAG_STDC10","","","GCT","BD125-10-A-0305-0580-L-B","2073-BD125-10-A-0305-0580-L-BCT-ND","DigiKey","","","",""
"18","CN703","1","FFC2B28-16-G","","","GCT","FFC2B28-16-G","2073-FFC2B28-16-GCT-ND","DigiKey","","","",""
